ticker,name
3635.T,Koei Tecmo Holdings Co., Ltd.
3659.T,NEXON Co., Ltd.
4816.T,Toei Animation Co.,Ltd.
5032.T,ANYCOLOR Inc.
5253.T,COVER Corporation
7203.T,Toyota Motor Corporation
7832.T,BANDAI NAMCO Holdings Inc.
7974.T,Nintendo Co., Ltd.
9602.T,Toho Co., Ltd.
9684.T,Square Enix Holdings Co., Ltd.
9697.T,Capcom Co., Ltd.
9766.T,Konami Group Corporation
