Date,Adj Close,Close,High,Low,Open,Volume
,9766.T,9766.T,9766.T,9766.T,9766.T,9766.T
2022-08-30,6925.2802734375,7230.0,7260.0,7030.0,7070.0,374800
2022-08-31,6781.60107421875,7080.0,7180.0,7070.0,7130.0,512200
2022-09-01,6944.4365234375,7250.0,7370.0,7070.0,7090.0,1091000
2022-09-02,6896.5439453125,7200.0,7230.0,7020.0,7150.0,706700
2022-09-05,6877.38720703125,7180.0,7240.0,7100.0,7170.0,583600
2022-09-06,6762.4443359375,7060.0,7210.0,7020.0,7210.0,399000
2022-09-07,6724.13134765625,7020.0,7060.0,6920.0,7030.0,671200
2022-09-08,6867.80810546875,7170.0,7200.0,7030.0,7090.0,576600
2022-09-09,7021.06494140625,7330.0,7370.0,7190.0,7250.0,841300
2022-09-12,7040.22216796875,7350.0,7400.0,7280.0,7390.0,360500
2022-09-13,7078.53662109375,7390.0,7480.0,7350.0,7420.0,522400
2022-09-14,6772.0234375,7070.0,7240.0,7050.0,7150.0,865800
2022-09-15,6819.91552734375,7120.0,7170.0,7060.0,7140.0,492300
2022-09-16,6637.92431640625,6930.0,7080.0,6890.0,7030.0,658800
2022-09-20,6455.93115234375,6740.0,6840.0,6580.0,6830.0,1497100
2022-09-21,6475.08837890625,6760.0,6820.0,6690.0,6730.0,951800
2022-09-22,6436.77490234375,6720.0,6780.0,6610.0,6680.0,687900
2022-09-26,6446.3525390625,6730.0,6800.0,6690.0,6730.0,641700
2022-09-27,6704.9736328125,7000.0,7040.0,6790.0,6820.0,889800
2022-09-28,6676.2373046875,6970.0,7140.0,6940.0,7040.0,1139600
2022-09-29,6726.4931640625,6960.0,7160.0,6930.0,7080.0,771900
2022-09-30,6455.8876953125,6680.0,7010.0,6630.0,6970.0,1612500
2022-10-03,6397.900390625,6620.0,6630.0,6340.0,6540.0,693500
2022-10-04,6494.54541015625,6720.0,6760.0,6610.0,6640.0,795800
2022-10-05,6417.2294921875,6640.0,6750.0,6590.0,6720.0,707000
2022-10-06,6339.9130859375,6560.0,6680.0,6560.0,6620.0,536700
2022-10-07,6291.5908203125,6510.0,6540.0,6420.0,6510.0,615600
2022-10-11,6194.9453125,6410.0,6490.0,6340.0,6370.0,728800
2022-10-12,6020.984375,6230.0,6390.0,6200.0,6380.0,893000
2022-10-13,5972.66259765625,6180.0,6280.0,6160.0,6210.0,533800
2022-10-14,6146.62353515625,6360.0,6410.0,6200.0,6200.0,708800
2022-10-17,6175.6171875,6390.0,6520.0,6360.0,6460.0,736600
2022-10-18,6446.22314453125,6670.0,6700.0,6550.0,6560.0,1019900
