Date,Adj Close,Close,High,Low,Open,Volume
,^N225,^N225,^N225,^N225,^N225,^N225
2022-09-01,27661.470703125,27661.470703125,27832.779296875,27589.69921875,27797.0,68900000
2022-09-02,27650.83984375,27650.83984375,27772.369140625,27570.740234375,27755.599609375,58800000
2022-09-05,27619.609375,27619.609375,27673.439453125,27511.6796875,27567.2890625,47100000
2022-09-06,27626.509765625,27626.509765625,27813.779296875,27557.990234375,27650.150390625,46300000
2022-09-07,27430.30078125,27430.30078125,27546.009765625,27268.69921875,27546.009765625,69400000
2022-09-08,28065.279296875,28065.279296875,28083.7890625,27718.30078125,27732.6796875,75200000
2022-09-09,28214.75,28214.75,28286.01953125,28091.380859375,28204.7109375,74000000
2022-09-12,28542.109375,28542.109375,28612.890625,28438.369140625,28483.58984375,50500000
2022-09-13,28614.630859375,28614.630859375,28659.759765625,28530.359375,28556.2109375,51700000
2022-09-14,27818.619140625,27818.619140625,28141.919921875,27795.640625,28132.69921875,70900000
2022-09-15,27875.91015625,27875.91015625,27946.19921875,27801.439453125,27873.9609375,48700000
2022-09-16,27567.650390625,27567.650390625,27654.990234375,27525.6796875,27631.390625,81600000
2022-09-20,27688.419921875,27688.419921875,27907.44921875,27627.859375,27788.6796875,60000000
2022-09-21,27313.130859375,27313.130859375,27467.33984375,27297.5,27440.83984375,65500000
2022-09-22,27153.830078125,27153.830078125,27197.0703125,26955.1796875,27053.580078125,62200000
2022-09-26,26431.55078125,26431.55078125,26779.439453125,26424.599609375,26779.439453125,96500000
2022-09-27,26571.869140625,26571.869140625,26680.19921875,26523.76953125,26585.380859375,66800000
2022-09-28,26173.98046875,26173.98046875,26516.3203125,25938.359375,26422.859375,92900000
2022-09-29,26422.05078125,26422.05078125,26458.669921875,26221.779296875,26280.5,88900000
2022-09-30,25937.2109375,25937.2109375,26273.650390625,25805.58984375,26240.0,101300000
2022-10-03,26215.7890625,26215.7890625,26223.83984375,25621.9609375,25778.94921875,80700000
2022-10-04,26992.2109375,26992.2109375,26994.439453125,26633.51953125,26653.490234375,87100000
2022-10-05,27120.529296875,27120.529296875,27216.80078125,27030.55078125,27211.3203125,73300000
